id,account_id,account_type,transaction_id,transaction_id_orig,transaction_amount,transaction_date,transaction_type,transaction_type_name,transaction_channel,transaction_code,is_db_cr,user_id,spv_id,reversal_code,reversal_code_name,correction
10,10,Tabungan,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,1500000.0,2022-11-30T19:51:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658844,51,1,reverse,2
11,11,Tabungan,bb1f22ef-052f-46c2-a17f-dbb7137967a7,bb1f22ef-052f-46c2-a17f-dbb7137967a7,400000.0,2022-11-30T22:51:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658844,51,1,reverse,3
47,47,Tabungan,f9ea05a1-ceba-4c8c-a35b-81bc2461d925,f9ea05a1-ceba-4c8c-a35b-81bc2461d925,7.5E7,2022-12-07T09:31:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,2
33,33,Tabungan,310178c0-ec95-4edb-9a81-912c805f0464,310178c0-ec95-4edb-9a81-912c805f0464,150000.0,2022-11-28T19:05:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,1
8,8,Tabungan,67e711a9-75d0-478a-9a98-f27940349b67,67e711a9-75d0-478a-9a98-f27940349b67,400000.0,2022-12-30T20:33:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658755,51,1,reverse,2
37,37,Tabungan,06c79ad6-ef3c-444b-ad88-81debe92ab1e,06c79ad6-ef3c-444b-ad88-81debe92ab1e,500000.0,2022-11-29T10:59:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,1
7,7,Tabungan,f9ea05a1-ceba-4c8c-a35b-81bc2461d924,f9ea05a1-ceba-4c8c-a35b-81bc2461d924,2.5E7,2022-12-30T20:33:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658755,51,1,reverse,8
38,38,Tabungan,27484943-0b9e-403f-8403-033e836bec59,27484943-0b9e-403f-8403-033e836bec59,1000000.0,2022-11-30T09:18:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,1
5,5,Tabungan,6f0ddadf-d44f-4b54-acb9-12c22c15bab8,6f0ddadf-d44f-4b54-acb9-12c22c15bab8,140000.0,2022-12-30T20:30:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658755,51,1,reverse,3
21,21,Tabungan,d2bcaf3c-3c99-4ce2-b60a-6a08854fae2b,d2bcaf3c-3c99-4ce2-b60a-6a08854fae2b,250000.0,2022-12-20T17:59:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110661276,51,1,reverse,1
41,41,Tabungan,d2bcaf3c-3c99-4ce2-b60a-6a08854fae2b,d2bcaf3c-3c99-4ce2-b60a-6a08854fae2b,250000.0,2022-12-05T00:33:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,4
31,31,Tabungan,bb1f22ef-052f-46c2-a17f-dbb7137967a7,bb1f22ef-052f-46c2-a17f-dbb7137967a7,400000.0,2022-11-30T07:52:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663422,51,1,reverse,1
